minuto,requisicoes,r200,r400,tempo
2020-09-01 00:01:00,234,123,99,4560
2020-09-01 00:02:00,54,30,12,960
2020-09-01 00:03:00,23,10,13,460
2020-09-01 00:04:00,345,280,55,6800
2020-09-01 00:05:00,67,44,12,1230
2020-09-01 00:06:00,45,33,12,900
2020-09-01 00:07:00,78,60,18,1560
2020-09-01 00:08:00,56,33,4,930
2020-09-01 00:09:00,456,326,128,9100
2020-09-01 00:10:00,78,33,32,1430
2020-09-01 00:11:00,345,222,111,6780
2020-09-01 00:12:00,344,300,44,6880
2020-09-01 00:13:00,365,281,64,7100
2020-09-01 00:14:00,456,380,70,9060
2020-09-01 00:14:59,78,44,30,1520
2020-09-01 00:15:59,56,12,40,1080
2020-09-01 00:16:59,489,234,222,9450
2020-09-01 00:17:59,456,269,132,8570
2020-09-01 00:18:59,78,45,33,1560
2020-09-01 00:19:59,453,440,12,9050
2020-09-01 00:20:59,123,98,12,2330
2020-09-01 00:21:59,87,60,27,1740
2020-09-01 00:22:59,453,343,62,8580
2020-09-01 00:23:59,88,12,2,1020
2020-09-01 00:24:59,322,224,34,5800
2020-09-01 00:25:59,87,44,12,1430
2020-09-01 00:26:59,345,340,12,6970
2020-09-01 00:27:59,435,320,115,8700
2020-09-01 00:28:59,153,100,50,3030
2020-09-01 00:29:59,321,320,1,6420
2020-09-01 00:30:59,343,343,0,6860
2020-09-01 00:31:59,88,80,8,1760
2020-09-01 00:32:59,634,555,32,12210
2020-09-01 00:33:59,45,40,5,900
2020-09-01 00:34:59,454,444,1,8990
2020-09-01 00:35:59,42,41,1,840
2020-09-01 00:36:59,88,80,8,1760
2020-09-01 00:37:59,78,65,13,1560
2020-09-01 00:38:59,578,478,100,11560
2020-09-01 00:39:59,123,100,23,2460
2020-09-01 00:40:58,88,78,10,1760
2020-09-01 00:41:58,456,400,56,9120
2020-09-01 00:42:58,78,70,8,1560
2020-09-01 00:43:58,56,55,1,1120
2020-09-01 00:44:58,99,90,9,1980
2020-09-01 00:45:58,456,444,12,9120
2020-09-01 00:46:58,6,0,6,120
2020-09-01 00:47:58,233,200,33,4660
2020-09-01 00:48:58,665,555,110,13300
2020-09-01 00:49:58,234,134,100,4680
2020-09-01 00:50:58,23,20,3,460
2020-09-01 00:51:58,232,180,52,4640
2020-09-01 00:52:58,87,50,37,1740
2020-09-01 00:53:58,656,640,15,13110
2020-09-01 00:54:58,345,300,45,6900
2020-09-01 00:55:58,665,643,5,13130
2020-09-01 00:56:58,675,665,10,13500
2020-09-01 00:57:58,65,64,1,1300
2020-09-01 00:58:58,676,673,3,13520
2020-09-01 00:59:58,127,120,7,2540
2020-09-01 01:00:58,234,123,99,4560
2020-09-01 01:01:58,54,30,12,960
2020-09-01 01:02:58,23,10,13,460
2020-09-01 01:03:58,345,280,55,6800
2020-09-01 01:04:58,67,44,12,1230
2020-09-01 01:05:58,45,33,12,900
2020-09-01 01:06:57,78,60,18,1560
2020-09-01 01:07:57,56,33,4,930
2020-09-01 01:08:57,456,326,128,9100
2020-09-01 01:09:57,78,33,32,1430
2020-09-01 01:10:57,345,222,111,6780
2020-09-01 01:11:57,344,300,44,6880
2020-09-01 01:12:57,365,281,64,7100
2020-09-01 01:13:57,456,380,70,9060
2020-09-01 01:14:57,78,44,30,1520
2020-09-01 01:15:57,56,12,40,1080
2020-09-01 01:16:57,489,234,222,9450
2020-09-01 01:17:57,456,269,132,8570
2020-09-01 01:18:57,78,45,33,1560
2020-09-01 01:19:57,453,440,12,9050
2020-09-01 01:20:57,123,98,12,2330
2020-09-01 01:21:57,87,60,27,1740
2020-09-01 01:22:57,453,343,62,8580
2020-09-01 01:23:57,88,12,2,1020
2020-09-01 01:24:57,322,224,34,5800
2020-09-01 01:25:57,87,44,12,1430
2020-09-01 01:26:57,345,340,12,6970
2020-09-01 01:27:57,435,320,115,8700
2020-09-01 01:28:57,153,100,50,3030
2020-09-01 01:29:57,321,320,1,6420
2020-09-01 01:30:57,343,343,0,6860
2020-09-01 01:31:57,88,80,8,1760
2020-09-01 01:32:56,634,555,32,12210
2020-09-01 01:33:56,45,40,5,900
2020-09-01 01:34:56,454,444,1,8990
2020-09-01 01:35:56,42,41,1,840
2020-09-01 01:36:56,88,80,8,1760
2020-09-01 01:37:56,78,65,13,1560
2020-09-01 01:38:56,578,478,100,11560
2020-09-01 01:39:56,123,100,23,2460
2020-09-01 01:40:56,88,78,10,1760
2020-09-01 01:41:56,456,400,56,9120
2020-09-01 01:42:56,78,70,8,1560
2020-09-01 01:43:56,56,55,1,1120
2020-09-01 01:44:56,99,90,9,1980
2020-09-01 01:45:56,456,444,12,9120
2020-09-01 01:46:56,6,0,6,120
2020-09-01 01:47:56,233,200,33,4660
2020-09-01 01:48:56,665,555,110,13300
2020-09-01 01:49:56,234,134,100,4680
